comment,length,word_count,rough_sentiment,length_bin
Terrible experience .... Not useful,35,5,negative,short
Using it for a while now and didn't had any issues,50,11,negative,short
Awful but that's how I like it,30,7,negative,short
Es T A bien,11,4,neutral,short
"No problems, very detailed and easy to use",42,8,neutral,short
As a bank should be. Customer based and faultless,49,9,neutral,short
"Effective, convenient and easy to use. Love it!",47,8,positive,short
So easy quick life saver,24,5,positive,short
Amazing banking experiences ❤,29,4,positive,short
I can't access my digital banking app... it says it doesn't recognise me!,73,13,negative,medium
"Helpfull , u don't have to go all the way to the bank or call the bank to check you're balance",94,21,negative,medium
"Why fingerprint authentication doesn't work? Before update i was able to log in with my fingerprint, now i have to put the 4 digit code everytime ,why?",151,27,negative,medium
I would have appreciated if the trading account would have allowed me to enter the place(s) where I pay taxes,109,20,neutral,medium
"Very helpful while travelling abroad, I know what was spent and the currency is converted for my convenience",108,18,neutral,medium
"Can't log on to the internet for tsb , it was a good app , what have you done TSB , If you can't rectify this I'm going to have to change Banks . This is the only app I can't log into .",185,44,neutral,medium
It took a while to get logged in but now its really good,56,13,positive,medium
"Excellent app, really intuitive and clear. Feels fresh and modern banking",73,11,positive,medium
quick and easy to use and saves a trip to the cash point when you want to know if you've been paid!,99,22,positive,medium
"After over a year of using the account, it got deactivated and little information of why, customer service quite poor, and quite disappointed on the whole experience due to poor customer service towards me. Also information stored on the app has not been returned as requested.. Appalling really",295,48,negative,long
"I actually invested the grand sum of £1000 in their first crowdfunding round because I liked the concept of a new bank upsetting the old fashioned high street banks and their antiquated ways.

So I've been with Monzo since the beginning really and can't say a bad word against them. I've used the card all over Europe and a couple of the popular holiday resorts in the U.S, all without problems.

I can't comment on the efficiency of Customer Services because I've never has reason to call them, but they are the first to admit if things begin to slip and respond accordingly.

It's also fair to say that that a lot of the in-app ideas from Monzo are being copied by the old fashioned Banks. That tells me something!

Don't believe the majority of bad reviews on here, the Banking system needs to change in line with technology and this is the way forward.",856,155,negative,long
